reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Id
e15c144a-b89f-4b84-a0aa-144680c01dae,sharif ALASSil,https://play-lh.googleusercontent.com/a/ACg8ocIPoMxh9AKzBoQnQuFLbJzQhPeuZrjsjZMBAapJCyCa=mo,Byoutiful,5,0,,2024-02-23 20:36:04,,,,com.snapchat.android
8f6d725d-491c-4fba-9b08-8d360df1913f,Aziz Baloch,https://play-lh.googleusercontent.com/a/ACg8ocIKpOrAqdspHS-PqSsx9T1DxvF-zKyQVDsJ9-i3lX_z=mo,Nice,5,0,,2024-02-23 20:00:06,,,,com.snapchat.android
a16c2aa4-1d45-40b4-af4c-9589789d5732,Konstance Titues,https://play-lh.googleusercontent.com/a/ACg8ocJFzhmQmIiO8ikPe-rKpZfVTPb9IFkdCznyRNrVsDAi=mo,This is the best not not really,5,2,12.71.0.30,2024-02-23 06:18:48,,,12.71.0.30,com.snapchat.android
7ce19b26-bc0d-4fce-8b3a-3deac1324117,Nazia Sayeed,https://play-lh.googleusercontent.com/a-/ALV-UjWGfM3ZWZaxrEsEiEd6WWpUKgtSWqkRagb6npMR_m1G5R8Y,"Dear Snapchat, from all the possibilities of improving your app why do you have such hate for bitmojis and consistently make them ugly everyday? My Bitmoji looks like Shrek's ugly brown sister. And now the stickers lost all its cuteness, So thanks for that unnecessary update ☺️",2,22,12.73.0.40,2024-02-22 02:57:14,,,12.73.0.40,com.snapchat.android
cf83eaf3-39d4-461e-a7ce-0ab1b0bbd656,Rijban Husen,https://play-lh.googleusercontent.com/a/ACg8ocKBptz8yg75_Dl59CTHil_jQud9vwAyOze2Z-3TySC2=mo,update karo mobile mobileko,5,7,12.67.1.0,2024-02-20 21:51:25,,,12.67.1.0,com.snapchat.android
e39e7a14-ad9c-4e0e-b29c-388f4a27c824,Julia Nelson,https://play-lh.googleusercontent.com/a/ACg8ocIDXgnLAwBOtm_4WeUgLotETFf7ubgCj6Bv0n4CY1EJ=mo,What an amazing social app you can do everything on Snapchat even check and snap what an amazing app hahaha lol laughing out loud,5,9,,2024-02-20 16:01:23,,,,com.snapchat.android
4fa67a7e-65e1-41af-ae91-488c35f9d6ba,Che Kennedy,https://play-lh.googleusercontent.com/a/ACg8ocJQ8eejEVvIVZ3OnxWfmley5KbUPgkeDAn5w4jUX97l=mo,Got ya,5,6,12.73.0.40,2024-02-20 12:56:19,,,12.73.0.40,com.snapchat.android
9958454d-400f-437f-ac5c-5fc8bd55481c,Khushboo Verma,https://play-lh.googleusercontent.com/a-/ALV-UjU95Tg4Py5ZOYkRtfB3td-2rGU03xLSKy8-3lEim5S0Cw,nice aap in my life it is so cool filter in a aap,5,5,,2024-02-20 09:27:33,,,,com.snapchat.android
5a442384-f736-4655-ad61-8b05044eae9a,Kelly,https://play-lh.googleusercontent.com/a-/ALV-UjUgcZHPSH-bgWFTNqa_ctu35pQqU0Y4Hx-FTNEVbwBi2eQ,"Came installed, i found it to be having issues connecting so I removed it",2,5,12.63.0.55,2024-02-19 09:58:09,,,12.63.0.55,com.snapchat.android
fc2366ac-213c-4434-8f44-e24ab0a5c401,Olarinde Maliki,https://play-lh.googleusercontent.com/a/ACg8ocI2HKtIK0DwzFQcLjs-rZki7RT3bsvD9gEtN04cef8=mo,Is not dawnload,5,7,,2024-02-19 02:08:51,,,,com.snapchat.android
b6232f27-f324-4e7c-9ddc-caf7b8b13db2,Raj Singh,https://play-lh.googleusercontent.com/a/ACg8ocIDmcHKiJAvJuUde52mZlf3cejZLSWb9ZWHuHbs6sTP=mo,Priyanka Mahato,5,1,12.73.0.40,2024-02-17 12:04:00,,,12.73.0.40,com.snapchat.android
ab463a04-e8bf-4e6b-a0d3-56a283fb123d,Pushpendra,https://play-lh.googleusercontent.com/a/ACg8ocLZGLoO0RL5SfxtHFZ0YGYj4fJpjxd2zIxXee9CI8vy=mo,Thank you,5,0,,2024-02-17 11:30:44,,,,com.snapchat.android
c31c461a-04d6-4ccd-a25b-79b01102b57e,Amaresha Amaresha,https://play-lh.googleusercontent.com/a/ACg8ocIYemhaF6no0VDVvM4fVR9tKycmO8vIJ3Vl1Uzim3KG=mo,Amaresh amaresh,5,0,,2024-02-17 11:11:37,,,,com.snapchat.android
6a89384b-c97f-4a27-92ee-ebcce1bf6c61,Jay Peter,https://play-lh.googleusercontent.com/a/ACg8ocL9FUaYamSwRjBHw5g31CzuZT6yL-WZUPG67R6HU2Gc=mo,Love snap,5,0,,2024-02-17 11:06:58,,,,com.snapchat.android
9f063eea-ba39-4fd6-bbf5-10f7d20de3b8,Maryam Adamu,https://play-lh.googleusercontent.com/a/ACg8ocJ1BadTCc-cwGKnG3L1-iS6Z8nKJQYFXjtoWveY-LsW=mo,Tailoring,5,0,,2024-02-17 10:54:40,,,,com.snapchat.android
d0b3989f-d8b6-4d69-840d-71691cc3befe,Rudra Mallick,https://play-lh.googleusercontent.com/a/ACg8ocKuuEh9h8yn4fPrVmXN0FtL0u_iKGouhRSnPgJB_NMd=mo,Nice,5,0,,2024-02-17 10:52:16,,,,com.snapchat.android
3671869f-3a70-409f-b9db-7ee0f259d14b,Chase Grover,https://play-lh.googleusercontent.com/a/ACg8ocKAfNy2n--LSEk_qmSueq_joSBWISzrLxXtsm5KUkLp=mo,It is gooooooooooood,5,0,12.72.0.37,2024-02-17 10:44:43,,,12.72.0.37,com.snapchat.android
ac4f8088-be86-4f11-b241-4e6a01be2742,Surya da Solider,https://play-lh.googleusercontent.com/a/ACg8ocLIg83F-KcJR_tt3Rxp0xSzMtkSjkg6lcqIjCliPh9S=mo,It's is easy to maintain,5,0,,2024-02-17 09:55:03,,,,com.snapchat.android
9dcdbdf1-057e-447f-8e00-e6f63f43ace8,Bhado Sada,https://play-lh.googleusercontent.com/a/ACg8ocJArKMM7nmHY8xbClP80mD663F0h8vjKRoOFr-0mdJp=mo,Prabhu,5,0,12.73.0.40,2024-02-17 09:26:52,,,12.73.0.40,com.snapchat.android
d1f53ed1-d2f9-4356-a8d8-e498ae336b74,Yurleen FordKickett,https://play-lh.googleusercontent.com/a/ACg8ocKya3I5s1jKujTgxfFonR7o5cg2gj7c8BqUCnCHeBpJ=mo,Awesome 👌 👏 👍 😍,5,0,,2024-02-17 09:12:23,,,,com.snapchat.android
75acd206-bcd3-450e-8c47-0f44494d1910,Raziya Sultana,https://play-lh.googleusercontent.com/a/ACg8ocKhAq4EnKczdZT1g_pIyPSZXthQWbKwgCwtjzw4gVeK=mo,Good 👍,5,1,,2024-02-17 09:09:14,,,,com.snapchat.android
